Player_id,Player,Team,Matches,Innings,Not Out,Runs,Highest Score,Average,Batting S/R,Sixes,Fours,Fifties,Ducks,Batting Position
191,Shaheen Shah Afridi,Pakistan,4,3,3,36,23*,0,163.63,4,1,0,0,9
192,Haris Rauf,Pakistan,4,1,1,3,3*,0,100,0,0,0,0,10
197,Assad Vala,Papua New Guinea,4,4,0,30,21,7.5,71.42,1,3,0,1,2
198,Tony Ura,Papua New Guinea,4,4,0,16,11,4,51.61,0,1,0,0,1
199,Lega Siaka,Papua New Guinea,3,3,0,13,12,4.33,65,0,1,0,1,8
200,Charles Amini,Papua New Guinea,3,3,0,34,17,11.33,64.15,0,2,0,0,3
201,Sese Bau,Papua New Guinea,4,4,0,67,50,16.75,83.75,1,8,1,1,4
202,Kiplin Doriga,Papua New Guinea,4,4,1,71,27*,23.66,92.2,1,6,0,0,7
203,Norman Vanua,Papua New Guinea,3,3,0,19,14,6.33,63.33,1,1,0,1,8
204,Chad Soper,Papua New Guinea,4,4,0,24,10,6,46.15,0,1,0,0,6
210,Hiri Hiri,Papua New Guinea,4,4,0,25,15,6.25,64.1,0,3,0,0,5
212,Richie Berrington,Scotland,4,3,2,102,47*,102,139.72,5,4,0,0,4
215,Michael Leask,Scotland,4,2,0,40,35,20,160,4,0,0,0,6
216,Chris Greaves,Scotland,4,2,2,13,9*,0,100,0,0,0,0,7
217,Matthew Cross,Scotland,4,3,1,36,18,18,150,3,1,0,0,5
228,Quinton de Kock,South Africa,9,9,0,243,74,27,140.46,13,21,2,1,2
230,Aiden Markram,South Africa,9,9,1,123,46,15.37,100.81,2,14,0,1,3
231,David Miller,South Africa,9,8,2,169,59*,28.16,102.42,8,10,1,1,6
232,Heinrich Klaasen,South Africa,9,8,2,190,52,31.66,126.66,13,9,1,0,5
233,Marco Jansen,South Africa,9,6,2,32,21*,8,96.96,1,1,0,1,7
234,Keshav Maharaj,South Africa,8,5,4,13,5*,13,54.16,0,1,0,0,8
235,Kagiso Rabada,South Africa,9,3,1,9,5*,4.5,128.57,0,2,0,1,9
236,Anrich Nortje,South Africa,9,1,1,1,1*,0,100,0,0,0,0,10
238,Reeza Hendricks,South Africa,9,9,1,113,43,14.12,87.59,3,11,0,2,1
242,Dasun Shanaka,Sri Lanka,3,3,0,12,9,4,66.66,0,0,0,1,8
244,Pathum Nissanka,Sri Lanka,3,3,0,50,47,16.66,131.57,1,7,0,1,1
245,Dhananjaya de Silva,Sri Lanka,2,2,0,55,34,27.5,105.76,1,4,0,0,4
246,Charith Asalanka,Sri Lanka,3,3,0,71,46,23.66,139.21,6,1,0,0,6
247,Wanindu Hasaranga,Sri Lanka,3,3,1,20,20*,10,222.22,2,1,0,2,4
248,Maheesh Theekshana,Sri Lanka,3,2,1,7,7*,7,36.84,0,1,0,1,9
254,Bhanuka Rajapaksa,Sri Lanka,3,3,0,75,46,25,111.94,0,0,0,0,3
257,Brian Masaba,Uganda,4,4,2,4,3*,2,15.38,0,0,0,1,8
258,Simon Ssesazi,Uganda,4,4,0,9,4,2.25,81.81,0,2,0,1,2
259,Roger Mukasa,Uganda,3,3,0,0,0,0,0,0,0,0,3,10
260,Cosmas Kyewuta,Uganda,4,3,1,4,2*,2,28.57,0,0,0,0,11
261,Dinesh Nakrani,Uganda,4,4,0,10,6,2.5,38.46,0,1,0,2,7
263,Kenneth Waiswa,Uganda,3,3,1,19,11,9.5,43.18,1,1,0,0,5
264,Alpesh Ramjani,Uganda,4,4,0,13,8,3.25,54.16,0,0,0,2,4
265,Frank Nsubuga,Uganda,2,1,0,0,0,0,0,0,0,0,1,7
266,Henry Ssenyondo,Uganda,1,1,0,0,0,0,0,0,0,0,1,9
267,Bilal Hassun,Uganda,1,1,0,8,8,8,50,0,1,0,0,5
268,Robinson Obuya,Uganda,4,4,0,21,14,5.25,58.33,0,0,0,1,3
269,Riazat Ali Shah,Uganda,4,4,0,49,33,12.25,44.14,0,1,0,0,6
270,Juma Miyaji,Uganda,3,3,1,26,13*,13,70.27,0,0,0,1,10
273,Aaron Jones,United States of America,6,6,2,162,94*,40.5,135,14,8,1,1,4
274,Steven Taylor,United States of America,6,6,0,74,24,12.33,90.24,3,7,0,1,1
275,Corey Anderson,United States of America,6,5,1,66,29,16.5,91.66,3,1,0,0,5
276,Saurabh Netravalkar,United States of America,6,2,0,0,0,0,0,0,0,0,2,11
277,Jasdeep Singh,United States of America,4,2,1,4,2*,4,30.76,0,0,0,0,9
278,Harmeet Singh,United States of America,6,4,0,69,38,17.25,138,5,4,0,1,7
279,Nosthush Kenjige,United States of America,4,2,0,1,1,0.5,25,0,0,0,1,10
282,Andries Gous,United States of America,6,6,1,219,80*,43.8,151.03,11,20,2,0,2
283,Shayan Jahangir,United States of America,2,2,0,3,3,1.5,30,0,0,0,1,1
284,Ali Khan,United States of America,6,2,1,14,14*,14,175,1,1,0,1,9
286,Milind Kumar,United States of America,2,2,0,23,19,11.5,85.18,0,1,0,0,6
287,Rovman Powell,West Indies,7,6,0,102,36,17,143.66,8,4,0,0,4
288,Alzarri Joseph,West Indies,7,2,1,17,11*,17,130.76,1,1,0,0,10
289,Johnson Charles,West Indies,6,6,0,140,44,23.33,113.82,3,18,0,2,2
290,Roston Chase,West Indies,6,3,1,94,52,47,130.55,4,7,1,1,8
293,Shai Hope,West Indies,3,3,1,107,82*,53.5,187.71,10,4,1,1,2
294,Akeal Hosein,West Indies,7,2,0,21,15,10.5,75,1,1,0,0,9
296,Brandon King,West Indies,5,5,1,86,34,21.5,126.47,2,13,0,0,1
297,Gudakesh Motie,West Indies,7,2,2,4,4*,0,50,0,1,0,0,11
298,Nicholas Pooran,West Indies,7,7,1,228,98,38,146.15,17,15,1,0,3
299,Andre Russell,West Indies,7,6,3,78,30*,26,165.95,4,8,0,0,5
300,Sherfane Rutherford,West Indies,7,6,3,121,68*,40.33,147.56,9,5,1,1,6
302,Sandeep Lamichhane,Nepal,2,1,1,0,0*,0,0,0,0,0,0,10
303,Rachin Ravindra,New Zealand,3,3,1,17,10,8.5,68,0,0,0,0,3
304,Matt Henry,New Zealand,1,1,0,12,12,12,70.58,1,0,0,0,9
